/home/inventree/env/lib/python3.10/site-packages/allauth/exceptions.py:9: UserWarning: allauth.exceptions is deprecated, use allauth.core.exceptions
  warnings.warn("allauth.exceptions is deprecated, use allauth.core.exceptions")
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[14/Aug/2024 04:55:47] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:56:12] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:56:37] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:57:02] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:57:27] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:57:52] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:58:17] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:58:42] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:59:07] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:59:32] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 04:59:57] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 05:00:22] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 05:00:47] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 05:07:22] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 05:07:47] "GET /api/notifications/?read=false HTTP/1.1" 200 2
[14/Aug/2024 05:07:55] "GET /api/part/?search=&offset=1750&limit=25&category=null&category_detail=true HTTP/1.1" 200 35134
Not Found: /media/part_images/images__1.thumbnail.png
Not Found: /media/part_images/images__1.thumbnail.png
[14/Aug/2024 05:07:55] "GET /media/part_images/images__1.thumbnail.png HTTP/1.1" 404 6844
Not Found: /media/part_images/d19ca410-8de9-45f1-a589-c097ae8b6f5e.png_366xaf.thumbnail.png
Not Found: /media/part_images/d19ca410-8de9-45f1-a589-c097ae8b6f5e.png_366xaf.thumbnail.png
[14/Aug/2024 05:07:55] "GET /media/part_images/d19ca410-8de9-45f1-a589-c097ae8b6f5e.png_366xaf.thumbnail.png HTTP/1.1" 404 6996
[14/Aug/2024 05:07:59] "GET /part/12123/ HTTP/1.1" 200 70921
[14/Aug/2024 05:07:59] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/bootstrap-table/extensions/filter-control/bootstrap-table-filter-control.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/bootstrap-table/extensions/group-by-v2/bootstrap-table-group-by.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/treegrid/css/jquery.treegrid.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/fontawesome/css/brands.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/fontawesome/css/solid.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/select2/css/select2.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/select2/css/select2-bootstrap-5-theme.css HTTP/1.1" 304 0
[14/Aug/2024 05:07:59] "GET /static/fullcalendar/main.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:08:00] "GET /static/script/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:08:00] "GET /static/easymde/easymde.min.css HTTP/1.1" 304 0
[14/Aug/2024 05:08:00] "GET /static/css/inventree.css HTTP/1.1" 304 0
[14/Aug/2024 05:08:00] "GET /static/css/color-themes/default.css HTTP/1.1" 304 0
[14/Aug/2024 05:08:00] "GET /static/img/inventree.png HTTP/1.1" 304 0
